Date,In,Out,Hours, Cash , Credit , BeerS , FoodS , LiquorS , RetailS , WineS ,Guest Count, Sales , Fee , CreditR , TotalR , FoodT , BarT , BusT ,Tip %, Tip Out , Hourly ,Liquor %,PPA
1/11/2024,3:29:00 PM,9:51:00 PM,6.37,  36.00 ,  252.56 ,  155.00 ,  1029.49 ,  106.00 ,  35.80 ,  24.00 ,36.00,  1350.29 ,  5.68 ,  198.89 ,  234.89 ,  20.59 ,  14.25 ,  13.14 ,0.17,  47.98 ,  36.89 ,0.28,37.51
1/13/2024,10:19:00 AM,4:48:00 PM,6.48,  163.00 ,  316.29 ,  273.00 ,  1532.89 ,  251.00 ,  0   ,  34.00 ,52.00,  2090.89 ,  7.12 ,  229.71 ,  392.71 ,  30.66 ,  27.90 ,  20.91 ,0.19,  79.47 ,  60.57 ,0.36,40.21
1/14/2024,9:52:00 AM,3:54:00 PM,6.03,  14.00 ,  357.22 ,  109.00 ,  1307.08 ,  124.00 ,  0   ,  0   ,46.00,  1540.08 ,  8.04 ,  295.99 ,  309.99 ,  26.14 ,  11.65 ,  15.40 ,0.20,  53.19 ,  51.38 ,0.18,33.48
1/19/2024,10:38:00 AM,2:04:00 PM,3.43,  10.00 ,  45.95 ,  7.00 ,  192.48 ,  0   ,  26.85 ,  11.00 ,8.00,  237.33 ,  1.03 ,  38.06 ,  48.06 ,  3.85 ,  0.90 ,  2.10 ,0.20,  6.85 ,  14.00 ,0.09,29.67
1/20/2024,3:11:00 PM,11:18:00 PM,8.12,  38.00 ,  384.06 ,  135.00 ,  1709.86 ,  136.00 ,  0   ,  38.00 ,69.00,  2018.86 ,  8.64 ,  305.58 ,  343.58 ,  34.20 ,  15.45 ,  20.19 ,0.17,  69.84 ,  42.33 ,0.18,29.26
1/25/2024,3:26:00 PM,10:02:00 PM,6.60,  123.00 ,  247.65 ,  188.00 ,  993.91 ,  44.00 ,  44.00 ,  0   ,40.00,  1269.91 ,  5.57 ,  198.34 ,  321.34 ,  19.88 ,  11.60 ,  12.26 ,0.25,  43.74 ,  48.69 ,0.23,31.75
1/26/2024,10:30:00 AM,10:35:00 PM,12.08,  40.00 ,  598.99 ,  198.00 ,  2453.70 ,  233.00 ,  0   ,  19.00 ,92.00,  2903.70 ,  13.48 ,  484.90 ,  524.90 ,  49.07 ,  22.50 ,  29.04 ,0.18,  100.61 ,  43.44 ,0.18,31.56
1/27/2024,3:11:00 PM,10:42:00 PM,7.52,  33.00 ,  442.42 ,  228.00 ,  1833.10 ,  192.00 ,  8.95 ,  44.00 ,66.00,  2306.05 ,  9.95 ,  349.63 ,  382.63 ,  36.66 ,  23.20 ,  22.97 ,0.17,  82.83 ,  50.90 ,0.25,34.94
2/2/2024,10:02:00 AM,4:19:00 PM,6.28,  11.00 ,  204.00 ,  54.00 ,  992.35 ,  33.00 ,  0   ,  0   ,40.00,  1079.35 ,  4.59 ,  164.42 ,  175.42 ,  19.85 ,  4.35 ,  10.79 ,0.16,  34.99 ,  27.92 ,0.09,26.98
2/3/2024,10:13:00 AM,11:10:00 PM,12.95,  104.00 ,  745.90 ,  329.00 ,  2766.62 ,  367.00 ,  0   ,  53.00 ,105.00,  3515.62 ,  16.78 ,  601.18 ,  705.18 ,  55.33 ,  37.45 ,  35.16 ,0.20,  127.94 ,  54.45 ,0.27,33.48
2/9/2024,10:14:00 AM,11:05:00 PM,12.85,  82.00 ,  783.78 ,  243.00 ,  3037.80 ,  677.00 ,  0   ,  33.00 ,100.00,  3990.80 ,  17.64 ,  617.83 ,  699.83 ,  60.76 ,  47.65 ,  39.91 ,0.18,  148.31 ,  54.46 ,0.31,39.91
2/10/2024,10:10:00 AM,11:43:00 PM,13.55,  144.00 ,  902.86 ,  249.00 ,  3697.60 ,  519.00 ,  39.80 ,  96.00 ,145.00,  4601.40 ,  20.31 ,  719.78 ,  863.78 ,  73.95 ,  43.20 ,  45.62 ,0.19,  162.77 ,  63.75 ,0.23,31.73
2/22/2024,3:29:00 PM,9:45:00 PM,6.27,  26.00 ,  273.26 ,  141.00 ,  1089.97 ,  134.00 ,  35.80 ,  13.00 ,41.00,  1413.77 ,  6.15 ,  217.13 ,  243.13 ,  21.80 ,  14.40 ,  13.78 ,0.17,  49.98 ,  38.80 ,0.26,34.48
2/23/2024,10:14:00 AM,10:23:00 PM,12.15,  80.00 ,  593.00 ,  220.00 ,  2573.80 ,  348.00 ,  17.90 ,  24.00 ,97.00,  3183.70 ,  13.34 ,  466.92 ,  546.92 ,  51.48 ,  29.60 ,  31.66 ,0.17,  112.73 ,  45.01 ,0.23,32.82
2/24/2024,10:22:00 AM,10:57:00 PM,12.58,  172.00 ,  691.53 ,  170.00 ,  3483.97 ,  375.00 ,  0   ,  0   ,125.00,  4028.97 ,  15.56 ,  538.75 ,  710.75 ,  69.68 ,  27.25 ,  40.29 ,0.18,  137.22 ,  56.48 ,0.16,32.23
2/25/2024,9:53:00 AM,3:41:00 PM,5.80,  88.00 ,  176.94 ,  55.00 ,  1025.66 ,  95.00 ,  0   ,  0   ,46.00,  1175.66 ,  3.98 ,  133.19 ,  221.19 ,  20.51 ,  7.50 ,  11.76 ,0.19,  39.77 ,  38.14 ,0.15,25.56
2/29/2024,3:38:00 PM,9:39:00 PM,6.02,  10.00 ,  304.38 ,  84.00 ,  938.46 ,  466.00 ,  0   ,  22.00 ,35.00,  1510.46 ,  6.85 ,  235.06 ,  245.06 ,  18.77 ,  28.60 ,  15.10 ,0.16,  62.47 ,  40.73 ,0.61,43.16
